"id_ordpmt_cl,""timreaordvir"",""id_clihrs"",""id_ficref_pain001"",""indcta"",""nbrtrnlot"",""mntlot"",""codpcppmt"",""libtypvir"",""libtypsrv"",""libnomdbt"",""numprsorgdbt"",""numprsphydbt"",""cod_paydbt"",""cod_clectldbt"",""cod_inc_dbt"",""codbicisodbt"",""libnomdbtpcp"",""numprsorgdbtpcp"",""numprsphydbtpcp"",""nbrtrndtl_psr2"",""mntlotdtn_psr2"",""timrcpfic_psr2_ech"",""timcre_psr2"",""libnomfic_psr2_caps_ech"",""timrcpfic_psr2_vue"",""id_ordpmt_caps"",""libnomfic_psr2_caps_vue"",""codetagrpord_psr2"",""timreaeft"",""libmsgide_psr2"",""codetagrppmt_psr1"",""indordech_psr2"",""timcre_psr3"",""nbrtrnrej_cl"",""libnomfic_cam054_rej"",""nbrtrndbtcnf"",""mnttottrnrejcnf"",""nbrtrnrejcnf"",""timrcp_cr_srv"",""libnomfic_psr3"",""libmsgide_psr3"",""mnttottrndbtcnf"",""libnomfic_cr_caps_srv"",""nbrtrndbt_cl"",""datrgmord"",""codetaord_cr"",""indcta_bb"",""mnttottrnrej_cl"",""libmsgide_cam054_acc"",""mnttottrndbt_cl"",""libmsgide_cam054_rej"",""libnomfic_cam054_acc"",""libmsgide_cr"",""timctaord"",""timcre_cr"",""timcre_cam054_acc"",""timcre_cam054_rej"",""nbrtrndtn_psr2_rjct"",""mntlotdtn_psr2_accp"",""nbrtrndtn_psr2_accp"",""mntlotdtn_psr2_rjct"",""libnomfic_zos_rej"",""nbrtrndtn_psr1_rjct"",""mntentrcrt_cr"",""libinfplu_lot_psr2"",""timcre_zos_acc"",""mntenttyp_00000004"",""mntentrdbt_cr"",""mntenttyp_00000001"",""nbrtrndtn_psr1_accp"",""mntlotdtn_psr1_accp"",""timcre_zos_rej"",""mntlotdtn_psr1_rjct"",""nbrentrdbt_cr"",""libnomfic_zos_acc"",""mntenttyp_00000002"",""nbrtrndtl_psr1"",""nbrentrcrt_cr"",""mntlotdtn_psr1"",""libinfplu_lot_psr1"",""mntenttyp_00000003"""
"REM000000100952,""2024-06-04 00:00:00"",""1004077827"",P01_0000000000000000000100651,true,1,1.00,"""","""","""",CONDAT SAS,102418,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,1,1.00,,""2024-06-04 09:22:31"",,""2024-06-04 09:25:16.543455"",""7fd9f160993c443c981045242777d71a"",HIN01PS2_20240604_09251600.xml,ACCP,""2024-06-04 00:00:00"",PR27fd9f160993c443c981045242777d71a,ACTC,,""2024-06-04 09:30:11"",0,CAMT54_RJIP_20240604_09301100.xml,0,0.00,0,""2024-06-04 09:25:21.507168"",PSR3_LCL_20240604_09301100.xml,PR37fd9f160993c443c981045242777d71a,0.00,HIN01CRD_20240604_09252100.xml,1,""2024-06-04"",CROB,true,0.00,EIP7fd9f160993c443c981045242777d71a,1.00,RIP7fd9f160993c443c981045242777d71a,CAMT54_RIPE_20240604_09301100.xml,CR7fd9f160993c443c981045242777d71a,""2024-06-04 09:22:31"",""2024-06-04 09:22:45"",""2024-06-04 09:30:11"",""2024-06-04 09:30:11"",0,1.00,1,0.00,,0,0.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|DATE 2024-06-04T09:22:31|NARR DATE INITIALE 2024-06-04|NARR REF BANQUE REMISE 7fd9f160993c443c981045242777d71a,""2024-06-04 09:28:12.587611"",0.00,1.00,1.00,1,1.00,,0.00,1,TKECRBOB_REM000000100952_20240604_09281258.txt,0.00,1,0,1.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-04|NARR REF BANQUE REMISE 7fd9f160993c443c981045242777d71a,0.00"
"REM000000100947,""2024-06-03 00:00:00"",Deb Nom Nom id-clihrs  PmtInfId Fin,P01_0000000000000000000100647,true,22,10723.26,NORM,INST,Debut Categoriepurposelibtypsrv Fin,DebutNm              Nom du Debtor ordre  libnomdbt              NmFin,102390,,FR,""26"",""30002002600000000020D85"",CRLYFRPPXXX,Deb    Nom    de    Ultimate    Debtor    libnomdbtpcp    ordre    Fin,102391,,22,10723.26,,""2024-06-03 15:03:35"",,""2024-06-03 15:05:19.180563"",ffe218575f144cbb9dce462e925d2dc2,HIN01PS2_20240603_15051900.xml,PART,""2024-06-03 00:00:00"",PR2ffe218575f144cbb9dce462e925d2dc2,ACTC,,""2024-06-11 12:03:49"",6,CAMT54_RJIP_20240611_12035000.xml,1,4845.85,7,""2024-06-03 15:05:21.698054"",PSR3_LCL_20240611_12034900.xml,PR3ffe218575f144cbb9dce462e925d2dc2,761.76,HIN01CRD_20240603_15052100.xml,8,""2024-06-03"",CRON,true,1909.86,EIPffe218575f144cbb9dce462e925d2dc2,3205.79,RIPffe218575f144cbb9dce462e925d2dc2,CAMT54_RIPE_20240611_12035000.xml,CRffe218575f144cbb9dce462e925d2dc2,""2024-06-03 15:03:35"",""2024-06-03 15:03:55"",""2024-06-11 12:03:50"",""2024-06-11 12:03:50"",3,9564.00,19,1159.26,,0,6755.71,ACCT FR2630002002600000000020D85|NAME DebutNm              Nom du Debtor ordre  libnomdbt              NmFin|DATE 2024-06-03T15:03:35|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE ffe218575f144cbb9dce462e925d2dc2,""2024-06-03 15:10:13.449731"",5596.45,3967.55,3967.55,22,10723.26,,0.00,9,TKECRBON_REM000000100947_20240603_15101344.txt,0.00,22,13,10723.26,ACCT FR2630002002600000000020D85|NAME DebutNm              Nom du Debtor ordre  libnomdbt              NmFin|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE ffe218575f144cbb9dce462e925d2dc2,1159.26"
"REM000000101001,""2024-06-19 00:00:00"",""2401081251"",P01_0000000000000000000100701,,11,100057.00,"""",INST,"""",CONDAT SAS,102484,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,11,100057.00,,""2024-06-19 17:03:31"",,""2024-06-19 17:04:20.973556"",""7fa1d5036e0b440f80a3d0e241b0aa59"",HIN01PS2_20240619_17042000.xml,PART,""2024-06-19 00:00:00"",PR27fa1d5036e0b440f80a3d0e241b0aa59,ACTC,,""2024-06-24 11:17:22"",2,CAMT54_RJIP_20240624_11172300.xml,0,1.00,1,""2024-06-19 17:04:26.184585"",PSR3_LCL_20240624_11172200.xml,PR37fa1d5036e0b440f80a3d0e241b0aa59,0.00,HIN01CRD_20240619_17042500.xml,8,""2024-06-19"",CROB,true,100008.00,EIP7fa1d5036e0b440f80a3d0e241b0aa59,48.00,RIP7fa1d5036e0b440f80a3d0e241b0aa59,CAMT54_RIPE_20240624_11172200.xml,CR7fa1d5036e0b440f80a3d0e241b0aa59,""2024-06-19 17:03:31"",""2024-06-19 17:03:40"",""2024-06-24 11:17:22"",""2024-06-24 11:17:23"",2,49.00,9,100008.00,,0,100009.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|DATE 2024-06-19T17:03:31|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 7fa1d5036e0b440f80a3d0e241b0aa59,""2024-06-19 17:08:12.311213"",1.00,48.00,48.00,11,100057.00,,0.00,8,TKECRBOB_REM000000101001_20240619_17081231.txt,0.00,11,3,100057.00,ACCT FR1530002002600000000013S10|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 7fa1d5036e0b440f80a3d0e241b0aa59,100008.00"
"REM000000101002,""2024-06-19 00:00:00"",""2401081252"",P01_0000000000000000000100701,,13,1421.00,"""",INST,"""",CONDAT SAS,102483,,FR,""79"",""30002002600000000010B03"",CRLYFRPPXXX,"""",,,13,1421.00,,""2024-06-19 17:03:31"",,""2024-06-19 17:04:21.798725"",""1053d1608ef745929285dd5f49026390"",HIN01PS2_20240619_17042100.xml,RJCT,""2024-06-19 00:00:00"",PR21053d1608ef745929285dd5f49026390,ACTC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.00,0,1421.00,,0,,ACCT FR7930002002600000000010B03|NAME CONDAT SAS|DATE 2024-06-19T17:03:31|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 1053d1608ef745929285dd5f49026390,,,,,13,1421.00,,0.00,,,,13,,1421.00,ACCT FR7930002002600000000010B03|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-19|NARR REF BANQUE REMISE 1053d1608ef745929285dd5f49026390,"
"REM000000100945,""2024-06-03 00:00:00"",""1004077827"",P01_0000000000000000000100645,true,1,1.00,"""","""","""",CONDAT SAS,102388,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,1,1.00,,""2024-06-03 11:38:29"",,""2024-06-03 11:40:16.752064"",""00810ffc2e9d4a7a86a97f20af5d33c0"",HIN01PS2_20240603_11401200.xml,ACCP,""2024-06-03 00:00:00"",PR200810ffc2e9d4a7a86a97f20af5d33c0,ACTC,,""2024-06-03 11:44:10"",0,CAMT54_RJIP_20240603_11441100.xml,0,0.00,0,""2024-06-03 11:40:26.930523"",PSR3_LCL_20240603_11441000.xml,PR300810ffc2e9d4a7a86a97f20af5d33c0,0.00,HIN01CRD_20240603_11402600.xml,1,""2024-06-03"",CROB,true,0.00,EIP00810ffc2e9d4a7a86a97f20af5d33c0,1.00,RIP00810ffc2e9d4a7a86a97f20af5d33c0,CAMT54_RIPE_20240603_11441000.xml,CR00810ffc2e9d4a7a86a97f20af5d33c0,""2024-06-03 11:38:29"",""2024-06-03 11:38:45"",""2024-06-03 11:44:10"",""2024-06-03 11:44:11"",0,1.00,1,0.00,,0,0.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|DATE 2024-06-03T11:38:29|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE 00810ffc2e9d4a7a86a97f20af5d33c0,""2024-06-03 11:42:21.301556"",0.00,1.00,1.00,1,1.00,,0.00,1,TKECRBOB_REM000000100945_20240603_11422130.txt,0.00,1,0,1.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE 00810ffc2e9d4a7a86a97f20af5d33c0,0.00"
"REM000000100998,""2024-06-18 00:00:00"",OR/0000062311Y/2021-09-22,P01_0000000000000000000100699,,1,150000.00,"""","""","""",MACS GESTION / ONJ PREMOBANCE,,,FR,""34"",""30002002600000001012N04"",CRLYFRPPXXX,"""",,,1,150000.00,,""2024-06-18 17:17:30"",,""2024-06-18 17:19:15.768507"",abc890c85b8e48168de0b78c7b6cf58d,HIN01PS2_20240618_17191500.xml,RJCT,""2024-06-18 00:00:00"",PR2abc890c85b8e48168de0b78c7b6cf58d,ACTC,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00,0,150000.00,,0,,ACCT FR3430002002600000001012N04|NAME MACS GESTION / ONJ PREMOBANCE|DATE 2024-06-18T17:17:30|NARR DATE INITIALE 2024-06-18|NARR REF BANQUE REMISE abc890c85b8e48168de0b78c7b6cf58d,,,,,1,150000.00,,0.00,,,,1,,150000.00,ACCT FR3430002002600000001012N04|NAME MACS GESTION / ONJ PREMOBANCE|NARR DATE INITIALE 2024-06-18|NARR REF BANQUE REMISE abc890c85b8e48168de0b78c7b6cf58d,"
"REM000000101011,""2024-06-26 00:00:00"",""2401081251"",P01_0000000000000000000100708,,2,2.00,"""",INST,"""",CONDAT SAS,102520,,FR,""15"",""30002002600000000013S10"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100953,""2024-06-04 00:00:00"",""1004077827"",P01_0000000000000000000100652,true,2,3.00,"""","""","""",CONDAT SAS,102419,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100954,""2024-06-04 00:00:00"",""1004077827"",P01_0000000000000000000100653,true,1,3.00,"""","""","""",CONDAT SAS,102420,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"REM000000100949,""2024-06-03 00:00:00"",""1004077827"",P01_0000000000000000000100649,true,1,2.00,"""","""","""",CONDAT SAS,102415,,FR,""82"",""30002002600000000015U41"",CRLYFRPPXXX,"""",,,1,2.00,,""2024-06-03 17:34:01"",,""2024-06-03 17:34:41.567466"",""948e059f713e41a7a2e42074637f1a60"",HIN01PS2_20240603_17344100.xml,ACCP,""2024-06-03 00:00:00"",PR2948e059f713e41a7a2e42074637f1a60,ACTC,,""2024-06-03 17:40:09"",0,CAMT54_RJIP_20240603_17401000.xml,0,0.00,0,""2024-06-03 17:34:42.962643"",PSR3_LCL_20240603_17400900.xml,PR3948e059f713e41a7a2e42074637f1a60,0.00,HIN01CRD_20240603_17344200.xml,1,""2024-06-03"",CROB,true,0.00,EIP948e059f713e41a7a2e42074637f1a60,2.00,RIP948e059f713e41a7a2e42074637f1a60,CAMT54_RIPE_20240603_17400900.xml,CR948e059f713e41a7a2e42074637f1a60,""2024-06-03 17:34:01"",""2024-06-03 17:34:15"",""2024-06-03 17:40:09"",""2024-06-03 17:40:10"",0,2.00,1,0.00,,0,0.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|DATE 2024-06-03T17:34:01|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE 948e059f713e41a7a2e42074637f1a60,""2024-06-03 17:38:12.385659"",0.00,2.00,2.00,1,2.00,,0.00,1,TKECRBOB_REM000000100949_20240603_17381238.txt,0.00,1,0,2.00,ACCT FR8230002002600000000015U41|NAME CONDAT SAS|NARR DATE INITIALE 2024-06-03|NARR REF BANQUE REMISE 948e059f713e41a7a2e42074637f1a60,0.00"
